label,area,eccentricity,solidity,mean_intensity,perimeter,major_axis_length,minor_axis_length,extent
1,267.0,0.7612633369806983,0.9501779359430605,66.79775280898876,62.42640687119285,23.199950213546344,15.043841873054177,0.6054421768707483
2,221.0,0.6180638125276129,0.9444444444444444,56.23076923076923,54.2842712474619,18.943093129686627,14.891694605714447,0.7269736842105263
3,478.0,0.8214153471479368,0.7457098283931357,64.75941422594143,121.78174593052023,39.07560515343612,22.286007651806024,0.5462857142857143
4,2036.0,0.8261377797025126,0.5646145313366612,73.52259332023576,347.30360723121805,93.38778744906031,52.62104489417782,0.36724386724386726
5,223.0,0.779992329962398,0.9570815450643777,77.73991031390135,55.941125496954285,21.433129407049744,13.412618205622465,0.652046783625731
6,253.0,0.8114071121936156,0.9844357976653697,78.73517786561264,58.62741699796952,23.48802506698921,13.728313600295895,0.8461538461538461
7,102.0,0.6496240249074936,0.9532710280373832,52.049019607843135,36.62741699796952,13.098853968991728,9.958477505042891,0.7132867132867133
8,497.0,0.8231631013284659,0.8055105348460292,70.07243460764587,105.63961030678928,36.67148460968506,20.82225201481204,0.6548089591567853
9,355.0,0.8099006506235195,0.8700980392156863,68.03098591549296,79.25483399593904,29.013517948831133,17.018374424134496,0.6339285714285714
10,80.0,0.731583384058409,0.9302325581395349,54.525,33.21320343559643,12.292506501522942,8.380440555842885,0.6837606837606838
11,212.0,0.801238395192438,0.9298245614035088,67.88207547169812,55.941125496954285,21.26890400727823,12.726147612091463,0.6309523809523809
12,62.0,0.729809238309065,0.9538461538461539,60.12903225806452,27.31370849898476,10.738629804407715,7.341473322721807,0.8051948051948052
13,996.0,0.9646918082029173,0.7732919254658385,67.36746987951807,180.75230867899737,75.00010765120562,19.75362670709153,0.3890625
14,142.0,0.818879808323799,0.9594594594594594,75.2394366197183,43.798989873223334,17.731925138712988,10.177505003772742,0.7593582887700535
15,227.0,0.8860888439665481,0.8730769230769231,57.563876651982376,65.01219330881976,25.755791500681898,11.938206959963216,0.5805626598465473
16,136.0,0.40885497653420616,0.9927007299270073,76.24264705882354,39.798989873223334,13.762229597759701,12.559402045923287,0.8047337278106509
17,95.0,0.7081606374464345,0.9895833333333334,74.87368421052632,33.55634918610404,13.069177771046164,9.227510633946522,0.811965811965812
18,412.0,0.6970957064069927,0.8917748917748918,65.39320388349515,83.49747468305833,28.343117347180392,20.32139403287764,0.639751552795031
19,862.0,0.9030674462056842,0.8328502415458937,63.59860788863109,141.29646455628165,52.90917274540531,22.724424256900626,0.6157142857142858
20,607.0,0.9103850624325862,0.7703045685279187,64.29654036243822,125.05382386916237,49.37818156589967,20.430817873396567,0.5429338103756708
21,694.0,0.5401257558130536,0.7568157033805889,72.06484149855908,138.02438661763952,37.086008039174544,31.21100286239652,0.49359886201991465
22,48.0,0.767922701861374,0.9795918367346939,60.604166666666664,23.31370849898476,9.720784172432904,6.226575620826174,0.7619047619047619
23,233.0,0.6278335155662366,0.9708333333333333,76.21030042918454,55.11269837220809,19.568253878811927,15.230904577944614,0.7213622291021672
24,181.0,0.7620424708194751,0.9627659574468085,60.51933701657459,49.698484809834994,18.90877768183808,12.243944917330937,0.6961538461538461
25,210.0,0.595916306526246,0.9905660377358491,78.8952380952381,50.62741699796952,18.23759510169962,14.645637760279623,0.8235294117647058
26,265.0,0.9252516048508871,0.7240437158469946,76.84150943396226,79.84062043356595,35.55553850207543,13.488136240521985,0.5076628352490421
27,458.0,0.7946038875982849,0.8035087719298246,74.7117903930131,110.63961030678928,34.33198913789474,20.84391906680564,0.5452380952380952
28,319.0,0.7005108127295523,0.9845679012345679,80.83699059561128,64.2842712474619,23.848883277134732,17.019559698169385,0.8158567774936062
29,91.0,0.6802402543145134,0.978494623655914,65.03296703296704,32.97056274847714,12.557984511671462,9.204867270045462,0.7777777777777778
30,814.0,0.9000646980131011,0.7386569872958257,66.56511056511056,163.3380951166243,56.2699176880066,24.519970254993066,0.4153061224489796
31,96.0,0.48742733340312405,0.9504950495049505,68.71875,34.14213562373095,11.838106036966467,10.336602757610898,0.7933884297520661
32,447.0,0.9088609171808522,0.8869047619047619,66.16331096196868,93.15432893255071,38.53058822280764,16.071081707064614,0.5209790209790209
33,52.0,0.7197706610169003,0.9454545454545454,51.67307692307692,25.79898987322333,9.80125210539176,6.804146082508498,0.6419753086419753
34,287.0,0.9029988977828955,0.790633608815427,58.70034843205575,83.25483399593904,32.44579285016262,13.940103365527175,0.5498084291187739
35,122.0,0.7015066240438635,0.9457364341085271,59.51639344262295,39.79898987322333,14.774537359192282,10.529265131752393,0.7393939393939394
36,619.0,0.8532238623844681,0.758578431372549,66.40064620355412,132.02438661763952,44.40059290737627,23.156900997548025,0.5336206896551724
37,153.0,0.6658138717826895,0.9683544303797469,57.71895424836601,44.04163056034261,16.191067757990545,12.080445121081338,0.7355769230769231
